CMDLINE /home/tl/projects/learning/natural-language-processing/stanford-cs336/assignment1-basics/.venv/bin/python3 profile_train_bpe.py
MEM 413.648438 1753079916.2998
MEM 413.648438 1753079916.4002
MEM 413.648438 1753079916.5005
MEM 413.648438 1753079916.6011
MEM 413.648438 1753079916.7015
MEM 413.648438 1753079916.8020
MEM 413.648438 1753079916.9023
MEM 413.648438 1753079917.0027
MEM 413.648438 1753079917.1032
MEM 413.648438 1753079917.2035
MEM 413.648438 1753079917.3039
MEM 413.648438 1753079917.4042
MEM 413.648438 1753079917.5046
MEM 413.648438 1753079917.6050
MEM 413.773438 1753079917.7054
MEM 413.773438 1753079917.8057
MEM 413.773438 1753079917.9061
MEM 413.773438 1753079918.0064
MEM 413.773438 1753079918.1067
MEM 413.773438 1753079918.2071
MEM 413.773438 1753079918.3077
MEM 413.773438 1753079918.4081
MEM 413.773438 1753079918.5084
MEM 413.773438 1753079918.6088
MEM 413.773438 1753079918.7092
MEM 413.773438 1753079918.8094
MEM 413.773438 1753079918.9097
MEM 413.773438 1753079919.0101
MEM 413.773438 1753079919.1105
MEM 413.773438 1753079919.2109
MEM 413.773438 1753079919.3111
MEM 413.773438 1753079919.4114
MEM 413.773438 1753079919.5119
MEM 413.773438 1753079919.6122
MEM 413.773438 1753079919.7126
MEM 413.773438 1753079919.8129
MEM 413.773438 1753079919.9133
MEM 413.773438 1753079920.0138
MEM 413.773438 1753079920.1141
MEM 413.773438 1753079920.2145
MEM 413.773438 1753079920.3150
MEM 413.773438 1753079920.4154
MEM 413.773438 1753079920.5158
MEM 413.773438 1753079920.6162
MEM 413.773438 1753079920.7166
MEM 413.773438 1753079920.8169
MEM 413.773438 1753079920.9173
MEM 413.773438 1753079921.0176
MEM 413.773438 1753079921.1179
MEM 413.773438 1753079921.2182
MEM 413.773438 1753079921.3186
MEM 413.773438 1753079921.4191
MEM 413.773438 1753079921.5194
MEM 413.773438 1753079921.6198
MEM 413.773438 1753079921.7201
MEM 413.773438 1753079921.8209
MEM 413.773438 1753079921.9213
MEM 413.773438 1753079922.0217
MEM 413.773438 1753079922.1223
MEM 413.773438 1753079922.2230
MEM 413.773438 1753079922.3236
MEM 413.773438 1753079922.4241
MEM 413.773438 1753079922.5245
MEM 413.773438 1753079922.6250
MEM 413.773438 1753079922.7255
MEM 413.773438 1753079922.8260
MEM 413.773438 1753079922.9264
MEM 413.773438 1753079923.0267
MEM 413.773438 1753079923.1271
MEM 413.773438 1753079923.2274
MEM 413.773438 1753079923.3280
MEM 413.773438 1753079923.4283
MEM 413.773438 1753079923.5288
MEM 413.773438 1753079923.6295
MEM 413.773438 1753079923.7299
MEM 413.773438 1753079923.8302
MEM 413.773438 1753079923.9305
MEM 413.773438 1753079924.0309
MEM 413.773438 1753079924.1313
MEM 413.773438 1753079924.2316
MEM 413.773438 1753079924.3321
MEM 413.773438 1753079924.4324
MEM 413.773438 1753079924.5328
MEM 413.773438 1753079924.6331
MEM 413.773438 1753079924.7335
MEM 413.773438 1753079924.8338
MEM 413.773438 1753079924.9342
MEM 413.773438 1753079925.0346
MEM 414.023438 1753079925.1349
MEM 414.023438 1753079925.2353
MEM 414.023438 1753079925.3356
MEM 414.023438 1753079925.4360
MEM 414.023438 1753079925.5364
MEM 414.023438 1753079925.6368
MEM 414.023438 1753079925.7372
MEM 414.023438 1753079925.8376
MEM 414.023438 1753079925.9379
MEM 414.023438 1753079926.0383
MEM 414.023438 1753079926.1388
MEM 414.023438 1753079926.2393
MEM 414.023438 1753079926.3397
MEM 414.023438 1753079926.4401
MEM 414.023438 1753079926.5404
MEM 414.023438 1753079926.6407
MEM 414.023438 1753079926.7413
MEM 414.023438 1753079926.8416
MEM 414.023438 1753079926.9424
MEM 414.023438 1753079927.0428
MEM 414.023438 1753079927.1432
MEM 414.023438 1753079927.2436
MEM 414.023438 1753079927.3440
MEM 414.023438 1753079927.4446
MEM 414.023438 1753079927.5451
MEM 414.023438 1753079927.6456
MEM 414.023438 1753079927.7460
MEM 414.023438 1753079927.8464
